ufn,semsp_id,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,lice_id_protocol_field,analysis_planned,fish_field_comments,qc_log
U204,2015-05-22-J04-CO-6,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U192,2015-05-22-J07-SO-13,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U193,2015-05-22-J07-SO-10,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U194,2015-05-22-J07-SO-12,JE104N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U195,2015-05-22-J04-CO-7,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U190,2015-05-22-J04-CU-2,JE106N4,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U211,2015-05-22-J04-CO-4,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U212,2015-05-22-J04-CO-2,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U205,2015-05-22-J04-CO-10,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U206,2015-05-22-J04-CO-5,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U196,2015-05-22-J04-CU-1,JE106N4,CU,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U197,2015-05-22-J04-SO-29,JE106N4,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U198,2015-05-22-J04-CO-3,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U199,2015-05-22-J04-CO-8,JE106N4,CO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U213,2015-05-15-D05-SO-25,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U214,2015-05-15-D05-SO-21,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U215,2015-05-15-D05-SO-28,DE103N1,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
U216,2015-05-21-D07-SO-29,DE115N2,SO,NA,NA,NA,NA,NA,NA,NA,SEMSP,,
