survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
JE212,2015-06-29,J08,"Carson White, Peter Harrington, Lauren Portner",none,100,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE213,2015-06-29,J07,"Carson White, Peter Harrington, Lauren Portner",none,100,0,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE214,2015-06-29,J05,"Carson White, Peter Harrington, Lauren Portner",none,100,2,5-10,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,"fish not at depth, only saw 2 poppers over total search time."
JE215,2015-06-29,J04,"Carson White, Peter Harrington, Lauren Portner",none,75,2,5-10,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,"fish not at depth, saw one popper over total search time."
JE216,2015-07-01,J10,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,50,1,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE217,2015-07-01,J03,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,50,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball. Whale activity"
JE218,2015-07-01,J09,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,"Secchi depth not possible. Tape broke, lost disc and cannon ball."
JE219,2015-07-02,J01,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,1,0,NA,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE220,2015-07-02,J02,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,1,10-15,NW,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE221,2015-07-07,J02,"Sean Godwin, Lauren Portner, Carson White",none,100,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE222,2015-07-07,J01,"Sean Godwin, Lauren Portner, Carson White",none,100,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,standard,net not set because no smolt activity
JE223,2015-07-07,J03,"Sean Godwin, Lauren Portner, Carson White",none,100,0,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,net not set because no smolt activity
JE224,2015-07-07,J10,"Sean Godwin, Lauren Portner, Carson White",none,100,0,0.1-5,NW,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE225,2015-07-07,J09,"Sean Godwin, Lauren Portner, Carson White",none,100,0,0,NA,NA,NA,NA,1,9.5,1,NA,1,standard,NA
JE226,2015-07-10,J02,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,standard,net not set because no smolt activity
JE227,2015-07-10,J01,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
JE228,2015-07-10,J03,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,standard,"net set on possible smolt school, fish not caught or seen again. Otherwise no smolt activity."
JE229,2015-07-10,J10,"Sean Godwin, Mack Bartlett, Dylan Smyth",none,0,0,0,NA,NA,NA,NA,2,NA,NA,NA,NA,standard,NA
JE230,2016-05-20,J08,"Sean Godwin, Chris Guinchard, Mirko Diaz",none,50,2,5-10,SE,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
JE231,2016-05-20,J05,"Sean Godwin, Chris Guinchard, Mirko Diaz",none,50,2,5-10,SE,NA,NA,NA,1,NA,1,NA,NA,standard,NA
JE232,2016-05-20,J07,"Sean Godwin, Chris Guinchard, Mirko Diaz, Clare Atkinson",none,25,1,0.1-5,NW,NA,NA,NA,1,NA,1,NA,NA,standard,NA
JE233,2016-05-21,J06,"Sean Godwin, Chris Guinchard, Clare Atkinson",none,0,1,0.1-5,NW,NA,NA,NA,1,NA,1,NA,NA,standard,NA
