survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,D22,,,15B102233,,2016-05-27 09:04:25 PDT,NA,,,,
,J07,,,15C101449,,2016-05-27 09:07:02 PDT,NA,,,,
,D27,,,15B102233,,2016-05-27 10:40:41 PDT,NA,,,,
,J10,,,15C101449,,2016-05-27 13:33:00 PDT,NA,,,,
,D09,,,15B102233,,2016-05-27 14:30:43 PDT,NA,,,,
,J09,,,15C101449,,2016-05-27 15:15:00 PDT,NA,,,,
,J01,,,15C101449,,2016-05-27 17:00:00 PDT,NA,,,,
,J02,,,15C101449,,2016-05-28 06:29:00 PDT,NA,,,,
,J03,,,15C101449,,2016-05-28 11:00:00 PDT,NA,,,,
,D09,,,15B102233,,2016-06-01 09:46:00 PDT,NA,,,,
,J02,,,15C100324,,2016-06-01 12:54:00 PDT,NA,,,,
,D27,,,15B102233,,2016-06-01 13:42:38 PDT,NA,,,,
,J01,,,15C100324,,2016-06-01 15:23:00 PDT,NA,,,,
