sample_id,sample_type,sample_subtype,ufn,sample_comments
S618CA1,carcass,whole,U618,NA
S619CA1,carcass,whole,U619,NA
S620CA1,carcass,whole,U620,NA
S621CA1,carcass,whole,U621,NA
S622CA1,carcass,whole,U622,NA
S623CA1,carcass,whole,U623,NA
S624CA1,carcass,whole,U624,NA
S625CA1,carcass,whole,U625,NA
S626CA1,carcass,whole,U626,NA
S627CA1,carcass,whole,U627,NA
S628CA1,carcass,whole,U628,NA
S629CA1,carcass,whole,U629,NA
S630CA1,carcass,whole,U630,NA
S631CA1,carcass,whole,U631,NA
S632CA1,carcass,whole,U632,NA
S633CA1,carcass,whole,U633,NA
S634CA1,carcass,whole,U634,NA
S635CA1,carcass,whole,U635,NA
S636CA1,carcass,whole,U636,NA
S637CA1,carcass,whole,U637,NA
S638CA1,carcass,whole,U638,NA
S639CA1,carcass,whole,U639,NA
S640CA1,carcass,whole,U640,NA
S641CA1,carcass,whole,U641,NA
S642CA1,carcass,whole,U642,NA
S643CA1,carcass,whole,U643,NA
S644CA1,carcass,whole,U644,NA
S645CA1,carcass,whole,U645,NA
S646CA1,carcass,whole,U646,NA
S647CA1,carcass,whole,U647,NA
S648CA1,carcass,whole,U648,NA
S649CA1,carcass,whole,U649,NA
S650CA1,carcass,whole,U650,NA
S651CA1,carcass,whole,U651,NA
S652CA1,carcass,whole,U652,NA
S653CA1,carcass,whole,U653,NA
S654CA1,carcass,whole,U654,NA
S655CA1,carcass,whole,U655,NA
S656CA1,carcass,whole,U656,NA
S657CA1,carcass,whole,U657,NA
S658CA1,carcass,whole,U658,NA
S659CA1,carcass,whole,U659,NA
S660CA1,carcass,whole,U660,NA
S661CA1,carcass,whole,U661,NA
S662CA1,carcass,whole,U662,NA
S663CA1,carcass,whole,U663,NA
S664CA1,carcass,whole,U664,NA
S665CA1,carcass,whole,U665,NA
S666CA1,carcass,whole,U666,NA
S667CA1,carcass,whole,U667,NA
S668CA1,carcass,whole,U668,NA
S669CA1,carcass,whole,U669,NA
S670CA1,carcass,whole,U670,NA
S671CA1,carcass,whole,U671,NA
S672CA1,carcass,whole,U672,NA
S673CA1,carcass,whole,U673,NA
S674CA1,carcass,whole,U674,NA
S675CA1,carcass,whole,U675,NA
S676CA1,carcass,whole,U676,NA
S677CA1,carcass,whole,U677,NA
S678CA1,carcass,whole,U678,NA
S679CA1,carcass,whole,U679,NA
S680CA1,carcass,whole,U680,NA
S681CA1,carcass,whole,U681,NA
S682CA1,carcass,whole,U682,NA
S683CA1,carcass,whole,U683,NA
S684CA1,carcass,whole,U684,NA
S685CA1,carcass,whole,U685,NA
S686CA1,carcass,whole,U686,NA
S687CA1,carcass,whole,U687,NA
S688CA1,carcass,whole,U688,NA
S689CA1,carcass,whole,U689,NA
S690CA1,carcass,whole,U690,NA
S691CA1,carcass,whole,U691,NA
S692CA1,carcass,whole,U692,NA
S693CA1,carcass,whole,U693,NA
S694CA1,carcass,whole,U694,NA
S695CA1,carcass,whole,U695,NA
S696CA1,carcass,whole,U696,NA
S697CA1,carcass,whole,U697,NA
S698CA1,carcass,whole,U698,NA
S699CA1,carcass,whole,U699,NA
S700CA1,carcass,whole,U700,NA
S701CA1,carcass,whole,U701,NA
S702CA1,carcass,whole,U702,NA
S703CA1,carcass,whole,U703,NA
S704CA1,carcass,whole,U704,NA
S705CA1,carcass,whole,U705,NA
S706CA1,carcass,whole,U706,NA
S707CA1,carcass,whole,U707,NA
S708CA1,carcass,whole,U708,NA
S709CA1,carcass,whole,U709,NA
S710CA1,carcass,whole,U710,NA
S711CA1,carcass,whole,U711,NA
S712CA1,carcass,whole,U712,NA
S713CA1,carcass,whole,U713,NA
S714CA1,carcass,whole,U714,NA
S716CA1,carcass,whole,U716,NA
S717CA1,carcass,whole,U717,NA
S718CA1,carcass,whole,U718,NA
S719CA1,carcass,whole,U719,NA
S720CA1,carcass,whole,U720,NA
S721CA1,carcass,whole,U721,NA
S722CA1,carcass,whole,U722,NA
S723CA1,carcass,whole,U723,NA
S724CA1,carcass,whole,U724,NA
S725CA1,carcass,whole,U725,NA
S726CA1,carcass,whole,U726,NA
S727CA1,carcass,whole,U727,NA
S728CA1,carcass,whole,U728,NA
S730CA1,carcass,whole,U730,NA
S731CA1,carcass,whole,U731,NA
S732CA1,carcass,whole,U732,NA
S733CA1,carcass,whole,U733,NA
S734CA1,carcass,whole,U734,NA
S735CA1,carcass,whole,U735,NA
S736CA1,carcass,whole,U736,NA
S737CA1,carcass,whole,U737,NA
S738CA1,carcass,whole,U738,NA
